CompanyVat,CompanyName,UnitName,UnitAddress,UnitZipcode,UnitCity,UnitStartdate,UnitEnddate,UnitEmployees
39186829,DKT Holdings ApS,DKT Holdings ApS,Teglholmsgade 1,2450,København SV,22/12 - 2017,,
25781309,DLR KREDIT A/S,Tigre Karoline Elisabeth Kornerup Stentebjerg-Olesen,"Rådmandsgade 2A, 3. th.",2200,København N,15/04 - 2006,15/04 - 2006,
25781309,DLR KREDIT A/S,DLR KREDIT A/S,Nyropsgade 21,1602,København V,01/12 - 2000,21/05 - 2001,
25781309,DLR KREDIT A/S,DLR KREDIT A/S,Nyropsgade 17,1602,København V,01/01 - 1989,,284
10882230,DSB Service & Retail A/S,DSB Kiosk,Karlslunde Parkvej 28,2690,Karlslunde,23/07 - 2002,31/12 - 2002,
10882230,DSB Service & Retail A/S,DSB Minibar Hillerød Station,Nordre Jernbanevej 37,3400,Hillerød,01/01 - 2000,01/01 - 2000,
10882230,DSB Service & Retail A/S,DSB Kælder Københavns Hovedbanegård,Banegårdspladsen 7,1570,København V,01/01 - 2000,01/01 - 2000,
10882230,DSB Service & Retail A/S,DSB RESTAURANTER OG KIOSKER TOG SERVICE,UKENDT,,,01/01 - 1993,31/12 - 1998,
10882230,DSB Service & Retail A/S,HR kompetence og uddannelse (DSB Kort & Godt A/S),Sølvgade 40F,1307,København K,20/12 - 2011,31/12 - 2012,
10882230,DSB Service & Retail A/S,DSB MINIBAR,Østerbrogade 240,2100,København Ø,01/05 - 1997,01/08 - 1999,
10882230,DSB Service & Retail A/S,DSB MINIBAR,Oslo Plads 8,2100,København Ø,23/06 - 2010,09/06 - 2011,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Rungsted Kyst,Vestre Stationsvej 7,2960,Rungsted Kyst,01/01 - 2008,25/10 - 2010,
10882230,DSB Service & Retail A/S,Kort & Godt A/S,Ved Vesterport 2,1612,København V,01/01 - 2008,01/01 - 2008,
10882230,DSB Service & Retail A/S,IC - Marked,Banegårdspladsen 7,1570,København V,01/01 - 2001,31/12 - 2001,
10882230,DSB Service & Retail A/S,DSB RESTAURANTER OG KIOSKER A/S,Stationsvej 15,7500,Holstebro,01/01 - 2001,01/01 - 2001,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Skjern,Bredgade 55,6900,Skjern,01/01 - 2008,05/09 - 2011,
10882230,DSB Service & Retail A/S,DSB IC Marked,Banegårdspladsen 7,1570,København V,01/01 - 2001,01/01 - 2001,
10882230,DSB Service & Retail A/S,DSB KIOSK NORDHAVN STATION,Østbanegade 120,2100,København Ø,01/01 - 2001,31/12 - 2001,
10882230,DSB Service & Retail A/S,DSB MINI BAR HØJE TAASTRUP STATION,Banestrøget 5,2630,Taastrup,01/01 - 1992,31/12 - 1998,
10882230,DSB Service & Retail A/S,DSB Kiosk Ellebjerg Station,Ellebjergvej,2450,København SV,01/01 - 2002,31/12 - 2002,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Snekkersten,Nørrevej 93,3070,Snekkersten,01/01 - 2008,01/01 - 2008,
10882230,DSB Service & Retail A/S,DSB kiosken Vangede station,Vangedevej 145,2820,Gentofte,01/01 - 2001,01/01 - 2001,
10882230,DSB Service & Retail A/S,"DSB Kiosk, Sydhavn St.",Ernst Kapers Vej 1,2450,København SV,01/01 - 2000,31/12 - 2000,
10882230,DSB Service & Retail A/S,DSB Servicekiosk Stenløse Station,Stationspladsen 2,3660,Stenløse,01/01 - 1999,01/01 - 1999,
10882230,DSB Service & Retail A/S,DSB Kiosk KBH Hovedbanegård Spor 9/10,Banegårdspladsen 7,1570,København V,01/01 - 2001,01/01 - 2001,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Espergærde,Kløvermarken 3,3060,Espergærde,01/01 - 2008,01/01 - 2008,
10882230,DSB Service & Retail A/S,DSB TOGSERVICE,Bernstorffsgade 14,1577,København V,01/01 - 1987,31/12 - 1998,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Kokkedal,Kokkedal Stationsvej 6,2970,Hørsholm,01/01 - 2008,25/10 - 2010,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Tinglev,Stationsvej 33,6360,Tinglev,01/01 - 2008,05/09 - 2011,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Hedehusene,Hovedgaden 437,2640,Hedehusene,01/01 - 2008,25/10 - 2010,
10882230,DSB Service & Retail A/S,Kort & Godt A/S Helsingør,Stationspladsen 2,3000,Helsingør,01/01 - 2008,31/08 - 2008,
10882230,DSB Service & Retail A/S,DSB Kioskmarked Flyvebådsterminalen,Havnegade 50,1058,København K,01/01 - 2001,30/11 - 2001,
10882230,DSB Service & Retail A/S,DSB Kiosk Spor 9/10,Banegårdspladsen 7,1570,København V,01/01 - 2002,31/12 - 2002,
10882230,DSB Service & Retail A/S,DSB 7-Eleven Solrød Strand,Solrød Center 47,2680,Solrød Strand,01/01 - 2008,16/09 - 2015,0
10882230,DSB Service & Retail A/S,Specialiteten Københavns Hovedbanegård,Banegårdspladsen 7,1570,København V,01/01 - 2000,29/05 - 2006,20-49
10882230,DSB Service & Retail A/S,DSB Minibar II Østerport Station,Oslo Plads 8,2100,København Ø,01/01 - 2000,31/12 - 2002,0
10882230,DSB Service & Retail A/S,DSB Kort & Godt Brønderslev,Banegårdspladsen 10,9700,Brønderslev,01/01 - 2008,30/12 - 2013,0
10882230,DSB Service & Retail A/S,DSB CAFE ROSKILDE STATION,Jernbanegade 1,4000,Roskilde,01/01 - 1987,30/09 - 2006,10-19
10882230,DSB Service & Retail A/S,DSB HR-DRIFT TEAM REFUSIONER OG ØKONOMI (K&G),Sølvgade 40C,1307,København K,28/02 - 2011,30/12 - 2012,0
10882230,DSB Service & Retail A/S,DSB 7-Eleven Hvidovre,Hvidovrevej 53-57,2650,Hvidovre,01/01 - 2008,30/06 - 2015,0
10882230,DSB Service & Retail A/S,DSB Cafe´ Århus Station,Banegårdspladsen 1,8000,Aarhus C,01/01 - 1987,09/06 - 2011,5-9
10882230,DSB Service & Retail A/S,DSB KIOSK Holstedbro STATION,Stationsvej 15,7500,Holstebro,01/01 - 2002,31/12 - 2002,2-4
10882230,DSB Service & Retail A/S,DSB Café VEJLE STATION,Banegårdspladsen 3,7100,Vejle,01/01 - 1987,13/01 - 2009,1
10882230,DSB Service & Retail A/S,DSB KIOSK ALLERØD STATION,Allerød Stationsvej 4,3450,Allerød,01/01 - 2001,01/01 - 2001,2-4
10882230,DSB Service & Retail A/S,DSB MINIBAR SLAGELSE STATION,Sdr.Stationsvej 28,4200,Slagelse,01/01 - 1987,31/12 - 1998,0
10882230,DSB Service & Retail A/S,DSB MINIBAR VESTERPORT STATION,Ved Vesterport 2,1612,København V,01/01 - 1987,09/01 - 2000,0
10882230,DSB Service & Retail A/S,DSB KIOSK GREVE STATION,Stationsholmen 6,2670,Greve,01/01 - 1987,31/01 - 2000,0
10882230,DSB Service & Retail A/S,DSB Kort & Godt Vojens,Odinsplads 3,6500,Vojens,01/01 - 2008,30/12 - 2013,0
10882230,DSB Service & Retail A/S,DSB Kort & Godt Rødekro,Banegaardspladsen 2,6230,Rødekro,01/01 - 2008,29/11 - 2013,0
10882230,DSB Service & Retail A/S,DSB MINIBAR NYKØBING F STATION,Banegårdspladsen 2,4800,Nykøbing F,01/01 - 1997,31/12 - 2003,5-9
10882230,DSB Service & Retail A/S,DELIKATESSEN,Banegårdspladsen 7,1570,København V,01/01 - 1996,29/05 - 2006,1
10882230,DSB Service & Retail A/S,DSB 7-Eleven Brøndby Strand,Brøndby Strand Centrum 1,2660,Brøndby Strand,01/01 - 2008,04/05 - 2014,0
10882230,DSB Service & Retail A/S,QUICKKIOSKEN KBH HOVEDBANEGÅRD AFGANGSHALLEN,Bernstorffsgade 18,1577,København V,01/01 - 1989,31/12 - 1999,20-49
10882230,DSB Service & Retail A/S,DSB 7-Eleven Nørreport Øst,Nørre Voldgade 1-3,1358,København K,24/01 - 2011,06/12 - 2011,5-9
10882230,DSB Service & Retail A/S,Kort & Godt A/S Viborg,Banegårdspladsen 2,8800,Viborg,01/01 - 2008,05/09 - 2011,0
10882230,DSB Service & Retail A/S,DSB MINIBAR 2 KØBENHAVNS HOVEDBANEGÅRD,Banegårdspladsen 7,1570,København V,01/01 - 1998,31/05 - 2006,1
