DECILGEN,KOMMUNEDK,PRISENHED,TID,INDHOLD
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1987,68020
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1988,67828
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1989,69750
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1990,70265
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1991,76585
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1992,74455
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1993,75897
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1994,83626
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1995,93507
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1996,95564
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1997,96560
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1998,95796
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),1999,94693
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2000,95262
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2001,95370
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2002,96686
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2003,94625
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2004,98999
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2005,97391
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2006,98620
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2007,88319
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2008,44622
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2009,57406
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2010,74493
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2011,76076
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2012,87279
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2013,90876
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2014,84099
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2015,92358
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2016,89895
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2017,91544
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2018,91493
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2019,96659
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2020,101302
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2021,107677
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2022,92576
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2023,97618
1. decil,Hele landet,Faste priser (seneste dataårs prisniveau),2024,101181
1. decil,Hele landet,Nominelle priser,1987,31418
1. decil,Hele landet,Nominelle priser,1988,32746
1. decil,Hele landet,Nominelle priser,1989,35284
1. decil,Hele landet,Nominelle priser,1990,36480
1. decil,Hele landet,Nominelle priser,1991,40715
1. decil,Hele landet,Nominelle priser,1992,40419
1. decil,Hele landet,Nominelle priser,1993,41712
1. decil,Hele landet,Nominelle priser,1994,46879
1. decil,Hele landet,Nominelle priser,1995,53514
1. decil,Hele landet,Nominelle priser,1996,55847
1. decil,Hele landet,Nominelle priser,1997,57667
1. decil,Hele landet,Nominelle priser,1998,58264
1. decil,Hele landet,Nominelle priser,1999,59027
1. decil,Hele landet,Nominelle priser,2000,61115
1. decil,Hele landet,Nominelle priser,2001,62629
1. decil,Hele landet,Nominelle priser,2002,65028
1. decil,Hele landet,Nominelle priser,2003,64971
1. decil,Hele landet,Nominelle priser,2004,68760
1. decil,Hele landet,Nominelle priser,2005,68868
1. decil,Hele landet,Nominelle priser,2006,71062
1. decil,Hele landet,Nominelle priser,2007,64729
1. decil,Hele landet,Nominelle priser,2008,33815
1. decil,Hele landet,Nominelle priser,2009,44078
1. decil,Hele landet,Nominelle priser,2010,58517
1. decil,Hele landet,Nominelle priser,2011,61405
1. decil,Hele landet,Nominelle priser,2012,72143
1. decil,Hele landet,Nominelle priser,2013,75704
1. decil,Hele landet,Nominelle priser,2014,70459
1. decil,Hele landet,Nominelle priser,2015,77728
1. decil,Hele landet,Nominelle priser,2016,75853
1. decil,Hele landet,Nominelle priser,2017,78128
1. decil,Hele landet,Nominelle priser,2018,78721
1. decil,Hele landet,Nominelle priser,2019,83792
1. decil,Hele landet,Nominelle priser,2020,88188
1. decil,Hele landet,Nominelle priser,2021,95473
1. decil,Hele landet,Nominelle priser,2022,88404
1. decil,Hele landet,Nominelle priser,2023,96295
1. decil,Hele landet,Nominelle priser,2024,101181
1. decil,København,Faste priser (seneste dataårs prisniveau),1987,63761
1. decil,København,Faste priser (seneste dataårs prisniveau),1988,62623
1. decil,København,Faste priser (seneste dataårs prisniveau),1989,59738
1. decil,København,Faste priser (seneste dataårs prisniveau),1990,58697
1. decil,København,Faste priser (seneste dataårs prisniveau),1991,61951
1. decil,København,Faste priser (seneste dataårs prisniveau),1992,61063
1. decil,København,Faste priser (seneste dataårs prisniveau),1993,63075
1. decil,København,Faste priser (seneste dataårs prisniveau),1994,71080
1. decil,København,Faste priser (seneste dataårs prisniveau),1995,70793
1. decil,København,Faste priser (seneste dataårs prisniveau),1996,74922
1. decil,København,Faste priser (seneste dataårs prisniveau),1997,72299
1. decil,København,Faste priser (seneste dataårs prisniveau),1998,75561
1. decil,København,Faste priser (seneste dataårs prisniveau),1999,72916
1. decil,København,Faste priser (seneste dataårs prisniveau),2000,70208
1. decil,København,Faste priser (seneste dataårs prisniveau),2001,71217
1. decil,København,Faste priser (seneste dataårs prisniveau),2002,72233
1. decil,København,Faste priser (seneste dataårs prisniveau),2003,71082
1. decil,København,Faste priser (seneste dataårs prisniveau),2004,71326
1. decil,København,Faste priser (seneste dataårs prisniveau),2005,69266
1. decil,København,Faste priser (seneste dataårs prisniveau),2006,70578
1. decil,København,Faste priser (seneste dataårs prisniveau),2007,61052
1. decil,København,Faste priser (seneste dataårs prisniveau),2008,46655
1. decil,København,Faste priser (seneste dataårs prisniveau),2009,49715
1. decil,København,Faste priser (seneste dataårs prisniveau),2010,45314
1. decil,København,Faste priser (seneste dataårs prisniveau),2011,54966
1. decil,København,Faste priser (seneste dataårs prisniveau),2012,59520
1. decil,København,Faste priser (seneste dataårs prisniveau),2013,59810
1. decil,København,Faste priser (seneste dataårs prisniveau),2014,61337
1. decil,København,Faste priser (seneste dataårs prisniveau),2015,62792
1. decil,København,Faste priser (seneste dataårs prisniveau),2016,59313
1. decil,København,Faste priser (seneste dataårs prisniveau),2017,58025
1. decil,København,Faste priser (seneste dataårs prisniveau),2018,57233
1. decil,København,Faste priser (seneste dataårs prisniveau),2019,59311
1. decil,København,Faste priser (seneste dataårs prisniveau),2020,59859
