Company,High Level Industry Sector,Low Level Industry Sector
15.JUNI FONDEN,Other Business,Philanthropic foundation
ACCENTURE,Information and Communication,IT and management consulting
AL SYDBANK,Financial and Insurance,Banking
ALERIS,"Public, Education and Health",Private healthcare and hospitals
ALK-ABELLÓ,Manufacturing,Pharmaceuticals
ALTIDEN,"Public, Education and Health",Private care and social services
ANTOAX HOLDING,Financial and Insurance,Holding company
AUGUSTINUS FONDEN,Other Business,Philanthropic foundation
AUNSBJERG,Trade and Transport,Automotive retail
BAVARIAN NORDIC,Manufacturing,Vaccine manufacturing
BEC FINANCIAL TECHNOLOGIES,Information and Communication,IT software for the financial sector
BESTSELLER,Trade and Transport,Fashion retail and wholesale
BITTEN OG MADS CLAUSENS FOND,Other Business,Industrial foundation (Danfoss)
CARLSBERG,Manufacturing,Beverage manufacturing
CASSIN NETWORKS,Information and Communication,Data processing and hosting
CHR. HANSEN,Manufacturing,Biosolutions and ingredients
COLOPLAST,Manufacturing,Medical device manufacturing
COOP DANMARK,Trade and Transport,Retail trade (Supermarkets)
DANISH CROWN,Manufacturing,Meat processing and food production
DANSK LANDBRUGS GROVVARESELSKAB,Trade and Transport,Agricultural wholesale and supply
DKT HOLDINGS,Financial and Insurance,Holding company (Telecom)
DLR KREDIT,Financial and Insurance,Mortgage credit
DSV,Trade and Transport,Global logistics and freight
DUOS,"Public, Education and Health",Social care and citizen support
FALCK DANMARK,"Public, Education and Health",Rescue and healthcare services
FONDEN DIS - DANISH INSTITUTE FOR STUDY ABROAD,"Public, Education and Health",International education
FORENINGEN BANKDATA,Information and Communication,IT solutions for banking
FOURCOM,Trade and Transport,IT wholesale and distribution
GENMAB,Manufacturing,Pharmaceuticals / Biotech
GN HEARING,Manufacturing,Hearing aid manufacturing
GRUNDFOS HOLDING,Financial and Insurance,Industrial holding company
H. LUNDBECK,Manufacturing,Pharmaceuticals
HEARTLAND,Financial and Insurance,Holding and investment
HEMPEL FONDEN,Other Business,Philanthropic foundation
HI3G DENMARK,Information and Communication,Telecommunications
JYSK,Trade and Transport,Furniture and home retail
KEMP & LAURITZEN,Other Business,Technical installation and construction
KIRKBI,Financial and Insurance,Holding and investment (LEGO)
KOMMUNEKREDIT,Financial and Insurance,Public sector financing
LEGO HOLDING,Financial and Insurance,Financial holding company
LEGO SYSTEM,Manufacturing,Toy manufacturing
LEO FONDET,Financial and Insurance,Foundation and holding
LEO PHARMA,Manufacturing,Pharmaceuticals
LEVERANDØRSELSKABET DANISH CROWN,Financial and Insurance,Agricultural cooperative and meat supply
L'ORÉAL DANMARK,Trade and Transport,Cosmetics wholesale
LUNDBECKFONDEN,Financial and Insurance,Foundation and holding
NETCOMPANY,Information and Communication,IT consulting and software development
NORLYS MOBILE,Information and Communication,Telecommunications
NOVO NORDISK,Manufacturing,Pharmaceuticals
NOVO NORDISK FONDEN,Financial and Insurance,Foundation and holding
NOVONESIS,Manufacturing,Biosolutions and ingredients
NPLH HOLDING,Financial and Insurance,Holding company (Coloplast)
NTI,Information and Communication,Software and IT solutions
OK-FONDEN,"Public, Education and Health",Non-profit nursing and social care
OPERATE TECHNOLOGY,Information and Communication,Web development and digital platforms
OTICON,Manufacturing,Hearing aid manufacturing
PANDORA,Manufacturing,Jewelry manufacturing
PFA PENSION,Financial and Insurance,Pension fund
PHARMACOSMOS HOLDING,Financial and Insurance,Holding company
RAMBØLL DANMARK,Other Business,Engineering and management consultancy
ROYAL UNIBREW,Manufacturing,Beverage manufacturing
SALLING GROUP,Trade and Transport,Retail trade (Supermarkets)
SICCADANIA,Manufacturing,Industrial process equipment
SINAL,Information and Communication,Telecommunications
SPAREKASSEN DANMARK,Financial and Insurance,Banking
STARK GROUP,Trade and Transport,Building materials wholesale
STIBO SYSTEMS,Information and Communication,Master Data Management software
SWECO DANMARK,Other Business,Engineering and architecture
T&W MEDICAL,Financial and Insurance,Holding company (WS Audiology)
TDC BRANDS,Information and Communication,Telecommunications
TDC NET,Information and Communication,Telecommunications infrastructure
TDC NET HOLDING,Financial and Insurance,Holding company
TOPSOE,Manufacturing,Chemicals and green energy tech
TOPSØE HOLDING,Financial and Insurance,Holding company
TRACKUNIT,Information and Communication,Fleet management software and IoT
TRYG FORSIKRING,Financial and Insurance,Insurance
VESTAS WIND SYSTEMS,Manufacturing,Wind turbine manufacturing
WILLIAM DEMANT INVEST,Financial and Insurance,Investment Holding
