Company,High Level Industry Sector,Low Level Industry Sector
29190658,"Public, Education and Health",Public administration and healthcare
365DISCOUNT,Trade and Transport,Retail trade (Supermarkets)
A.P. MØLLER - MÆRSK,Trade and Transport,Global shipping and logistics
AALBORG KOMMUNE,"Public, Education and Health",Public administration
AARHUS KOMMUNE,"Public, Education and Health",Public administration
AARHUS UNIVERSITET,"Public, Education and Health",Higher education
ACCENTURE,Information and Communication,IT and management consulting
AEVEN,Information and Communication,Digital infrastructure and IT operations
AL SYDBANK,Financial and Insurance,Banking
ALM. BRAND FORSIKRING,Financial and Insurance,Insurance
ARBEJDSMARKEDETS TILLÆGSPENSION,Financial and Insurance,Pension fund and public finance
ÅRHUS UNIVERSITETSHOSPITAL,"Public, Education and Health",Public healthcare and hospital
ARLA FOODS AMBA,Manufacturing,Dairy and food manufacturing
ASSENS KOMMUNE,"Public, Education and Health",Public administration
BEC FINANCIAL TECHNOLOGIES,Information and Communication,IT software for the financial sector
BESTSELLER,Trade and Transport,Fashion retail and wholesale
CARELINK GRUPPEN,"Public, Education and Health",Healthcare and social staffing
COMPASS GROUP DANMARK,Other Business,Catering and facility management
COOP DANMARK,Trade and Transport,Retail trade (Supermarkets)
DAGROFA APS,Trade and Transport,Wholesale and retail trade
DANFOSS,Manufacturing,Industrial and climate control tech
DANISH CROWN,Manufacturing,Meat processing and food production
DANMARKS TEKNISKE UNIVERSITET,"Public, Education and Health",Higher education
DANSKE BANK,Financial and Insurance,Banking
DELOITTE,Other Business,Accounting and management consultancy
DSB,Trade and Transport,Passenger rail transport
ESBJERG KOMMUNE,"Public, Education and Health",Public administration
EVERLLENCE,Manufacturing,Industrial equipment and energy tech
FALCK DANMARK,"Public, Education and Health",Rescue and healthcare services
FORBRUGER-KONTAKT,Trade and Transport,Advertising distribution and logistics
FORENINGEN BANKDATA,Information and Communication,IT solutions for banking
FORSVARET OG FORSVARSMINISTERIETS STYRELSER,"Public, Education and Health",National defense and administration
FREDENSBORG KOMMUNE,"Public, Education and Health",Public administration
FREDERIKSHAVN KOMMUNE,"Public, Education and Health",Public administration
FUJIFILM DIOSYNTH BIOTECHNOLOGIES DENMARK,Manufacturing,Pharmaceuticals and biotech
GENTOFTE KOMMUNE,"Public, Education and Health",Public administration
GJENSIDIGE FORSIKRING,Financial and Insurance,Insurance
GULDBORGSUND KOMMUNE,"Public, Education and Health",Public administration
H. LUNDBECK,Manufacturing,Pharmaceuticals
HANDICAPFORMIDLINGEN,"Public, Education and Health",Social care and citizen support
HERNING KOMMUNE,"Public, Education and Health",Public administration
HOLSTEBRO KOMMUNE,"Public, Education and Health",Public administration
HORSENS KOMMUNE,"Public, Education and Health",Public administration
IF SKADEFORSIKRING,Financial and Insurance,Insurance
ISS FACILITY SERVICES,Other Business,Facility management and cleaning
ITM8,Information and Communication,IT services and digital transformation
JKS,Other Business,Temp agency and recruitment
JYSKE BANK,Financial and Insurance,Banking
KEMP & LAURITZEN,Other Business,Technical installation and construction
KMD,Information and Communication,IT consulting and software development
KØBENHAVNS KOMMUNE,"Public, Education and Health",Public administration
KØBENHAVNS UNIVERSITET,"Public, Education and Health",Higher education
KØGE KOMMUNE,"Public, Education and Health",Public administration
KOLDING KOMMUNE,"Public, Education and Health",Public administration
LAGKAGEHUSET,Trade and Transport,Bakery retail
LB FORSIKRING,Financial and Insurance,Insurance
LEGO SYSTEM,Manufacturing,Toy manufacturing
LIDL DANMARK K/S,Trade and Transport,Retail trade (Supermarkets)
LOLLAND KOMMUNE,"Public, Education and Health",Public administration
