Company,High Level Industry Sector,Low Level Industry Sector
15.JUNI FONDEN,Other Business,Philanthropic foundation
29190658,"Public, Education and Health",Public administration and healthcare
365discount,Trade and Transport,Retail trade (Supermarkets)
A.P. Møller - Mærsk,Trade and Transport,Global shipping and logistics
AARHUS UNIVERSITET,"Public, Education and Health",Higher education
ACCENTURE,Information and Communication,IT and management consulting
AEVEN,Information and Communication,Digital infrastructure and IT operations
AL SYDBANK,Financial and Insurance,Banking
ALERIS,"Public, Education and Health",Private healthcare and hospitals
ALK-ABELLÓ,Manufacturing,Pharmaceuticals
ALM. BRAND FORSIKRING,Financial and Insurance,Insurance
ANTOAX HOLDING,Financial and Insurance,Holding company
ARBEJDSMARKEDETS TILLÆGSPENSION,Financial and Insurance,Pension fund and public finance
ARLA FOODS AMBA,Manufacturing,Dairy and food manufacturing
ASSENS KOMMUNE,"Public, Education and Health",Public administration
Aalborg Kommune,"Public, Education and Health",Public administration
Aarhus Kommune,"Public, Education and Health",Public administration
Altiden,"Public, Education and Health",Private care and social services
Augustinus Fonden,Other Business,Philanthropic foundation
Aunsbjerg,Trade and Transport,Automotive retail
BAVARIAN NORDIC,Manufacturing,Vaccine manufacturing
BEC FINANCIAL TECHNOLOGIES,Information and Communication,IT software for the financial sector
BESTSELLER,Trade and Transport,Fashion retail and wholesale
BITTEN OG MADS CLAUSENS FOND,Other Business,Industrial foundation (Danfoss)
CARELINK GRUPPEN,"Public, Education and Health",Healthcare and social staffing
CASSIN NETWORKS,Information and Communication,Data processing and hosting
CHR. HANSEN,Manufacturing,Biosolutions and ingredients
COMPASS GROUP DANMARK,Other Business,Catering and facility management
Carlsberg,Manufacturing,Beverage manufacturing
Coloplast,Manufacturing,Medical device manufacturing
Coop Danmark,Trade and Transport,Retail trade (Supermarkets)
DAGROFA Aps,Trade and Transport,Wholesale and retail trade
DANFOSS,Manufacturing,Industrial and climate control tech
DANISH CROWN,Manufacturing,Meat processing and food production
DANSKE BANK,Financial and Insurance,Banking
DKT HOLDINGS,Financial and Insurance,Holding company (Telecom)
DLR KREDIT,Financial and Insurance,Mortgage credit
DSB,Trade and Transport,Passenger rail transport
DSV,Trade and Transport,Global logistics and freight
DUOS,"Public, Education and Health",Social care and citizen support
Danmarks Tekniske Universitet,"Public, Education and Health",Higher education
Dansk Landbrugs Grovvareselskab,Trade and Transport,Agricultural wholesale and supply
Deloitte,Other Business,Accounting and management consultancy
ESBJERG KOMMUNE,"Public, Education and Health",Public administration
EVERLLENCE,Manufacturing,Industrial equipment and energy tech
FONDEN DIS - DANISH INSTITUTE FOR STUDY ABROAD,"Public, Education and Health",International education
FORENINGEN BANKDATA,Information and Communication,IT solutions for banking
FOURCOM,Trade and Transport,IT wholesale and distribution
FREDENSBORG KOMMUNE,"Public, Education and Health",Public administration
FREDERIKSHAVN Kommune,"Public, Education and Health",Public administration
FUJIFILM Diosynth Biotechnologies Denmark,Manufacturing,Pharmaceuticals and biotech
Falck Danmark,"Public, Education and Health",Rescue and healthcare services
Forbruger-Kontakt,Trade and Transport,Advertising distribution and logistics
Forsvaret og Forsvarsministeriets Styrelser,"Public, Education and Health",National defense and administration
GENMAB,Manufacturing,Pharmaceuticals / Biotech
GENTOFTE KOMMUNE,"Public, Education and Health",Public administration
GJENSIDIGE FORSIKRING,Financial and Insurance,Insurance
GN HEARING,Manufacturing,Hearing aid manufacturing
GRUNDFOS HOLDING,Financial and Insurance,Industrial holding company
GULDBORGSUND Kommune,"Public, Education and Health",Public administration
H. LUNDBECK,Manufacturing,Pharmaceuticals
HANDICAPFORMIDLINGEN,"Public, Education and Health",Social care and citizen support
HEARTLAND,Financial and Insurance,Holding and investment
HEMPEL FONDEN,Other Business,Philanthropic foundation
HERNING Kommune,"Public, Education and Health",Public administration
HI3G DENMARK,Information and Communication,Telecommunications
HOLSTEBRO Kommune,"Public, Education and Health",Public administration
