Industry Sector;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2025%
A Agriculture, forestry and fishing;24107;17977;19326;20401;15232;13956;21545;23445;30620;24323;26801;18441;19519;27586;22369;28593;31119;27602;28377;28935;27153;35815;1,30%
B Mining and quarrying;37614;52554;59115;58510;66357;41111;45928;52514;52750;43592;35043;18603;16673;18381;21903;16744;7070;10652;22504;14629;14751;19333;0,70%
C Manufacturing;192545;191492;203633;208468;213706;193030;197185;202799;212171;228393;234253;253462;271940;284965;291758;308743;298667;320546;363085;455946;522678;573869;21,10%
D_E Utility services;33962;33969;35920;32023;34828;31949;38023;36802;35380;33546;35553;36958;36440;36812;37541;40108;39952;44950;73893;53760;44030;42425;1,60%
F Construction;70077;73581;83637;85507;94270;77152;69984;74743;75460;76438;79409;88175;100126;107035;110420;109880;109278;119008;125709;134052;125140;125193;4,60%
G_I Trade and transport etc.;260749;272891;287237;305624;306682;278546;306016;310906;315958;337683;356063;363586;359173;381471;384387;393452;409465;502243;652730;477350;490623;493016;18,20%
J Information and communication;58428;58576;62065;64269;70245;72844;74411;73808;73480;78480;77668;81773;86400;87786;88977;96385;99409;102827;105766;113724;120425;130704;4,80%
K Financial and insurance;62784;69159;73155;80254;90449;92317;94696;92064;99687;98056;99817;102764;103398;107380;109399;107808;107425;115626;115142;137432;142572;133324;4,90%
LA Real estate activities and renting of non-residential buildings;30020;34160;37165;39091;36748;37391;39034;39586;40377;39615;40913;42857;45830;50341;53452;56727;57904;59312;61734;65652;66712;68271;2,50%
LB Dwellings;95734;97723;98746;101157;105435;112804;121411;130746;131504;136238;142586;145752;150173;155199;159450;165971;173252;177629;186625;191417;195894;202179;7,40%
M_N Other business services;93477;105518;112104;116430;128847;126467;127649;129550;131213;140140;143420;155565;174620;180301;190135;192453;191696;224601;222339;241482;256164;275355;10,10%
O_Q Public administration, education and health;291426;298369;311923;319271;340112;362016;375175;372033;379427;382087;388894;395491;399198;404903;414570;424705;432522;456548;469063;482399;508974;533493;19,60%
R_S Arts, entertainment and other services;44070;45824;47950;48810;51497;53027;54104;55906;56256;56825;57398;57592;59420;61656;61454;63464;63564;62704;67409;72254;78654;82821;3,00%
;;;;;;;;;;;;;;;;;;;;;;;
