municipality_code,municipality_name,year,population
580,Aabenraa,2008,60189
580,Aabenraa,2009,60392
580,Aabenraa,2010,59978
580,Aabenraa,2011,59795
580,Aabenraa,2012,59600
580,Aabenraa,2013,59208
580,Aabenraa,2014,58970
580,Aabenraa,2015,58904
580,Aabenraa,2016,58869
580,Aabenraa,2017,59003
580,Aabenraa,2018,59089
580,Aabenraa,2019,59035
580,Aabenraa,2020,58761
580,Aabenraa,2021,58526
580,Aabenraa,2022,58693
580,Aabenraa,2023,59002
580,Aabenraa,2024,58657
851,Aalborg,2008,195145
851,Aalborg,2009,196292
851,Aalborg,2010,197426
851,Aalborg,2011,199188
851,Aalborg,2012,201142
851,Aalborg,2013,203448
851,Aalborg,2014,205809
851,Aalborg,2015,207805
851,Aalborg,2016,210316
851,Aalborg,2017,211937
851,Aalborg,2018,213558
851,Aalborg,2019,215312
851,Aalborg,2020,217075
851,Aalborg,2021,219487
851,Aalborg,2022,221082
851,Aalborg,2023,222571
851,Aalborg,2024,223174
751,Aarhus,2008,298538
751,Aarhus,2009,302618
751,Aarhus,2010,306650
751,Aarhus,2011,310956
751,Aarhus,2012,314545
751,Aarhus,2013,319094
751,Aarhus,2014,323893
751,Aarhus,2015,326246
751,Aarhus,2016,330639
751,Aarhus,2017,335684
751,Aarhus,2018,340421
751,Aarhus,2019,345332
751,Aarhus,2020,349983
751,Aarhus,2021,352751
751,Aarhus,2022,355238
751,Aarhus,2023,361544
751,Aarhus,2024,367095
165,Albertslund,2008,27602
165,Albertslund,2009,27706
165,Albertslund,2010,27730
165,Albertslund,2011,27800
165,Albertslund,2012,27864
165,Albertslund,2013,27824
165,Albertslund,2014,27728
165,Albertslund,2015,27806
165,Albertslund,2016,27880
165,Albertslund,2017,27896
165,Albertslund,2018,27743
165,Albertslund,2019,27877
165,Albertslund,2020,27731
165,Albertslund,2021,27366
165,Albertslund,2022,27599
165,Albertslund,2023,27530
165,Albertslund,2024,27677
201,Allerød,2008,23493
201,Allerød,2009,23821
