municipality_code,municipality_name,year,average_income
580,Aabenraa,2008,166290
580,Aabenraa,2009,167106
580,Aabenraa,2010,181280
580,Aabenraa,2011,184117
580,Aabenraa,2012,188090
580,Aabenraa,2013,191465
580,Aabenraa,2014,193579
580,Aabenraa,2015,198437
580,Aabenraa,2016,202029
580,Aabenraa,2017,210096
580,Aabenraa,2018,213650
580,Aabenraa,2019,220387
580,Aabenraa,2020,230031
580,Aabenraa,2021,239958
580,Aabenraa,2022,244263
580,Aabenraa,2023,250127
580,Aabenraa,2024,259641
851,Aalborg,2008,167076
851,Aalborg,2009,171881
851,Aalborg,2010,184804
851,Aalborg,2011,187797
851,Aalborg,2012,191634
851,Aalborg,2013,195384
851,Aalborg,2014,198403
851,Aalborg,2015,203080
851,Aalborg,2016,205924
851,Aalborg,2017,212729
851,Aalborg,2018,218056
851,Aalborg,2019,223448
851,Aalborg,2020,234085
851,Aalborg,2021,244344
851,Aalborg,2022,246872
851,Aalborg,2023,256494
851,Aalborg,2024,266935
751,Aarhus,2008,172568
751,Aarhus,2009,177687
751,Aarhus,2010,192946
751,Aarhus,2011,196346
751,Aarhus,2012,200098
751,Aarhus,2013,207081
751,Aarhus,2014,211446
751,Aarhus,2015,220011
751,Aarhus,2016,221100
751,Aarhus,2017,228901
751,Aarhus,2018,234439
751,Aarhus,2019,239830
751,Aarhus,2020,250297
751,Aarhus,2021,262497
751,Aarhus,2022,261816
751,Aarhus,2023,270915
751,Aarhus,2024,281588
165,Albertslund,2008,169042
165,Albertslund,2009,172800
165,Albertslund,2010,183831
165,Albertslund,2011,182828
165,Albertslund,2012,186626
165,Albertslund,2013,188093
165,Albertslund,2014,192715
165,Albertslund,2015,196771
165,Albertslund,2016,199705
165,Albertslund,2017,202561
165,Albertslund,2018,208399
165,Albertslund,2019,211987
165,Albertslund,2020,221028
165,Albertslund,2021,230832
165,Albertslund,2022,232129
165,Albertslund,2023,241138
165,Albertslund,2024,248808
201,Allerød,2008,222414
201,Allerød,2009,224741
201,Allerød,2010,251802
201,Allerød,2011,261760
201,Allerød,2012,266595
201,Allerød,2013,273294
201,Allerød,2014,280848
201,Allerød,2015,288485
201,Allerød,2016,293063
201,Allerød,2017,300931
201,Allerød,2018,306103
201,Allerød,2019,319855
201,Allerød,2020,327301
201,Allerød,2021,345529
201,Allerød,2022,345657
201,Allerød,2023,352616
201,Allerød,2024,363562
420,Assens,2008,161082
420,Assens,2009,168406
420,Assens,2010,181933
420,Assens,2011,184591
420,Assens,2012,189157
420,Assens,2013,192580
420,Assens,2014,194750
420,Assens,2015,199676
420,Assens,2016,202808
420,Assens,2017,208781
420,Assens,2018,212415
420,Assens,2019,221444
420,Assens,2020,230366
420,Assens,2021,239817
420,Assens,2022,240754
420,Assens,2023,249635
420,Assens,2024,252783
151,Ballerup,2008,182901
151,Ballerup,2009,183351
151,Ballerup,2010,197401
151,Ballerup,2011,202452
151,Ballerup,2012,206484
151,Ballerup,2013,210474
151,Ballerup,2014,219824
151,Ballerup,2015,223323
151,Ballerup,2016,225245
151,Ballerup,2017,230366
151,Ballerup,2018,236121
151,Ballerup,2019,242568
151,Ballerup,2020,252939
151,Ballerup,2021,263285
151,Ballerup,2022,264673
151,Ballerup,2023,277526
151,Ballerup,2024,285035
530,Billund,2008,171198
530,Billund,2009,173384
530,Billund,2010,190905
530,Billund,2011,195230
530,Billund,2012,201798
530,Billund,2013,208051
530,Billund,2014,210271
530,Billund,2015,212304
530,Billund,2016,215983
530,Billund,2017,227700
530,Billund,2018,231771
530,Billund,2019,239139
530,Billund,2020,248416
530,Billund,2021,260894
530,Billund,2022,265340
530,Billund,2023,398267
530,Billund,2024,286776
400,Bornholm,2008,155300
400,Bornholm,2009,160093
400,Bornholm,2010,173759
