Municipality,KommuneCode,RegionName,RegionCode
København,0101,Region Hovedstaden,1084
Frederiksberg,0147,Region Hovedstaden,1084
Ballerup,0151,Region Hovedstaden,1084
Brøndby,0153,Region Hovedstaden,1084
Dragør,0155,Region Hovedstaden,1084
Gentofte,0157,Region Hovedstaden,1084
Gladsaxe,0159,Region Hovedstaden,1084
Glostrup,0161,Region Hovedstaden,1084
Herlev,0163,Region Hovedstaden,1084
Albertslund,0165,Region Hovedstaden,1084
Hvidovre,0167,Region Hovedstaden,1084
Høje-Taastrup,0169,Region Hovedstaden,1084
Lyngby-Taarbæk,0173,Region Hovedstaden,1084
Rødovre,0175,Region Hovedstaden,1084
Ishøj,0183,Region Hovedstaden,1084
Tårnby,0185,Region Hovedstaden,1084
Vallensbæk,0187,Region Hovedstaden,1084
Furesø,0190,Region Hovedstaden,1084
Allerød,0201,Region Hovedstaden,1084
Fredensborg,0210,Region Hovedstaden,1084
Helsingør,0217,Region Hovedstaden,1084
Hillerød,0219,Region Hovedstaden,1084
Hørsholm,0223,Region Hovedstaden,1084
Rudersdal,0230,Region Hovedstaden,1084
Egedal,0240,Region Hovedstaden,1084
Frederikssund,0250,Region Hovedstaden,1084
Greve,0253,Region Sjælland,1085
Køge,0259,Region Sjælland,1085
Halsnæs,0260,Region Hovedstaden,1084
Roskilde,0265,Region Sjælland,1085
Solrød,0269,Region Sjælland,1085
Gribskov,0270,Region Hovedstaden,1084
Odsherred,0306,Region Sjælland,1085
Holbæk,0316,Region Sjælland,1085
Faxe,0320,Region Sjælland,1085
Kalundborg,0326,Region Sjælland,1085
Ringsted,0329,Region Sjælland,1085
Slagelse,0330,Region Sjælland,1085
Stevns,0336,Region Sjælland,1085
Sorø,0340,Region Sjælland,1085
Lejre,0350,Region Sjælland,1085
Lolland,0360,Region Sjælland,1085
Næstved,0370,Region Sjælland,1085
Guldborgsund,0376,Region Sjælland,1085
Vordingborg,0390,Region Sjælland,1085
Bornholm,0400,Region Hovedstaden,1084
Middelfart,0410,Region Syddanmark,1083
Christiansø,0411,Region Hovedstaden,1084
Assens,0420,Region Syddanmark,1083
Faaborg-Midtfyn,0430,Region Syddanmark,1083
Kerteminde,0440,Region Syddanmark,1083
Nyborg,0450,Region Syddanmark,1083
Odense,0461,Region Syddanmark,1083
Svendborg,0479,Region Syddanmark,1083
Nordfyns,0480,Region Syddanmark,1083
Langeland,0482,Region Syddanmark,1083
Ærø,0492,Region Syddanmark,1083
Haderslev,0510,Region Syddanmark,1083
Billund,0530,Region Syddanmark,1083
Sønderborg,0540,Region Syddanmark,1083
Tønder,0550,Region Syddanmark,1083
Esbjerg,0561,Region Syddanmark,1083
Fanø,0563,Region Syddanmark,1083
Varde,0573,Region Syddanmark,1083
Vejen,0575,Region Syddanmark,1083
Aabenraa,0580,Region Syddanmark,1083
Fredericia,0607,Region Syddanmark,1083
Horsens,0615,Region Midtjylland,1082
Kolding,0621,Region Syddanmark,1083
Vejle,0630,Region Syddanmark,1083
Herning,0657,Region Midtjylland,1082
Holstebro,0661,Region Midtjylland,1082
Lemvig,0665,Region Midtjylland,1082
Struer,0671,Region Midtjylland,1082
Syddjurs,0706,Region Midtjylland,1082
Norddjurs,0707,Region Midtjylland,1082
Favrskov,0710,Region Midtjylland,1082
Odder,0727,Region Midtjylland,1082
Randers,0730,Region Midtjylland,1082
Silkeborg,0740,Region Midtjylland,1082
Samsø,0741,Region Midtjylland,1082
Skanderborg,0746,Region Midtjylland,1082
Aarhus,0751,Region Midtjylland,1082
Ikast-Brande,0756,Region Midtjylland,1082
Ringkøbing-Skjern,0760,Region Midtjylland,1082
Hedensted,0766,Region Midtjylland,1082
Morsø,0773,Region Nordjylland,1081
Skive,0779,Region Midtjylland,1082
Thisted,0787,Region Nordjylland,1081
Viborg,0791,Region Midtjylland,1082
Brønderslev,0810,Region Nordjylland,1081
Frederikshavn,0813,Region Nordjylland,1081
Vesthimmerlands,0820,Region Nordjylland,1081
Læsø,0825,Region Nordjylland,1081
Rebild,0840,Region Nordjylland,1081
Mariagerfjord,0846,Region Nordjylland,1081
Jammerbugt,0849,Region Nordjylland,1081
Aalborg,0851,Region Nordjylland,1081
Hjørring,0860,Region Nordjylland,1081
