municipality_code,municipality_name,year,population,average_income
580,Aabenraa,2008,60189,166290.0
580,Aabenraa,2009,60392,167106.0
580,Aabenraa,2010,59978,181280.0
580,Aabenraa,2011,59795,184117.0
580,Aabenraa,2012,59600,188090.0
580,Aabenraa,2013,59208,191465.0
580,Aabenraa,2014,58970,193579.0
580,Aabenraa,2015,58904,198437.0
580,Aabenraa,2016,58869,202029.0
580,Aabenraa,2017,59003,210096.0
580,Aabenraa,2018,59089,213650.0
580,Aabenraa,2019,59035,220387.0
580,Aabenraa,2020,58761,230031.0
580,Aabenraa,2021,58526,239958.0
580,Aabenraa,2022,58693,244263.0
580,Aabenraa,2023,59002,250127.0
580,Aabenraa,2024,58657,259641.0
851,Aalborg,2008,195145,167076.0
851,Aalborg,2009,196292,171881.0
851,Aalborg,2010,197426,184804.0
851,Aalborg,2011,199188,187797.0
851,Aalborg,2012,201142,191634.0
851,Aalborg,2013,203448,195384.0
851,Aalborg,2014,205809,198403.0
851,Aalborg,2015,207805,203080.0
851,Aalborg,2016,210316,205924.0
851,Aalborg,2017,211937,212729.0
851,Aalborg,2018,213558,218056.0
851,Aalborg,2019,215312,223448.0
851,Aalborg,2020,217075,234085.0
851,Aalborg,2021,219487,244344.0
851,Aalborg,2022,221082,246872.0
851,Aalborg,2023,222571,256494.0
851,Aalborg,2024,223174,266935.0
751,Aarhus,2008,298538,172568.0
751,Aarhus,2009,302618,177687.0
751,Aarhus,2010,306650,192946.0
751,Aarhus,2011,310956,196346.0
751,Aarhus,2012,314545,200098.0
751,Aarhus,2013,319094,207081.0
751,Aarhus,2014,323893,211446.0
751,Aarhus,2015,326246,220011.0
751,Aarhus,2016,330639,221100.0
751,Aarhus,2017,335684,228901.0
751,Aarhus,2018,340421,234439.0
751,Aarhus,2019,345332,239830.0
751,Aarhus,2020,349983,250297.0
751,Aarhus,2021,352751,262497.0
751,Aarhus,2022,355238,261816.0
751,Aarhus,2023,361544,270915.0
751,Aarhus,2024,367095,281588.0
165,Albertslund,2008,27602,169042.0
165,Albertslund,2009,27706,172800.0
165,Albertslund,2010,27730,183831.0
165,Albertslund,2011,27800,182828.0
165,Albertslund,2012,27864,186626.0
165,Albertslund,2013,27824,188093.0
165,Albertslund,2014,27728,192715.0
165,Albertslund,2015,27806,196771.0
165,Albertslund,2016,27880,199705.0
165,Albertslund,2017,27896,202561.0
165,Albertslund,2018,27743,208399.0
165,Albertslund,2019,27877,211987.0
165,Albertslund,2020,27731,221028.0
165,Albertslund,2021,27366,230832.0
165,Albertslund,2022,27599,232129.0
165,Albertslund,2023,27530,241138.0
165,Albertslund,2024,27677,248808.0
201,Allerød,2008,23493,222414.0
201,Allerød,2009,23821,224741.0
201,Allerød,2010,24089,251802.0
201,Allerød,2011,24096,261760.0
201,Allerød,2012,24043,266595.0
201,Allerød,2013,24073,273294.0
201,Allerød,2014,24175,280848.0
201,Allerød,2015,24411,288485.0
201,Allerød,2016,24732,293063.0
201,Allerød,2017,24942,300931.0
201,Allerød,2018,25235,306103.0
201,Allerød,2019,25646,319855.0
201,Allerød,2020,25633,327301.0
201,Allerød,2021,25893,345529.0
201,Allerød,2022,25867,345657.0
201,Allerød,2023,26061,352616.0
201,Allerød,2024,25962,363562.0
420,Assens,2008,42054,161082.0
420,Assens,2009,42128,168406.0
420,Assens,2010,42054,181933.0
420,Assens,2011,41635,184591.0
420,Assens,2012,41443,189157.0
420,Assens,2013,41325,192580.0
420,Assens,2014,41037,194750.0
420,Assens,2015,41046,199676.0
420,Assens,2016,41224,202808.0
420,Assens,2017,41390,208781.0
420,Assens,2018,41328,212415.0
420,Assens,2019,41212,221444.0
420,Assens,2020,40965,230366.0
420,Assens,2021,40867,239817.0
420,Assens,2022,40972,240754.0
420,Assens,2023,40944,249635.0
420,Assens,2024,40646,252783.0
151,Ballerup,2008,47116,182901.0
151,Ballerup,2009,47398,183351.0
151,Ballerup,2010,47652,197401.0
151,Ballerup,2011,47930,202452.0
151,Ballerup,2012,47994,206484.0
151,Ballerup,2013,48211,210474.0
151,Ballerup,2014,48514,219824.0
151,Ballerup,2015,48355,223323.0
151,Ballerup,2016,48224,225245.0
151,Ballerup,2017,48231,230366.0
151,Ballerup,2018,48295,236121.0
151,Ballerup,2019,48458,242568.0
151,Ballerup,2020,48602,252939.0
151,Ballerup,2021,49310,263285.0
151,Ballerup,2022,49274,264673.0
151,Ballerup,2023,50039,277526.0
151,Ballerup,2024,51237,285035.0
530,Billund,2008,26181,171198.0
530,Billund,2009,26235,173384.0
530,Billund,2010,26160,190905.0
530,Billund,2011,26155,195230.0
530,Billund,2012,26220,201798.0
530,Billund,2013,26357,208051.0
530,Billund,2014,26318,210271.0
530,Billund,2015,26285,212304.0
530,Billund,2016,26434,215983.0
530,Billund,2017,26481,227700.0
530,Billund,2018,26482,231771.0
530,Billund,2019,26629,239139.0
530,Billund,2020,26608,248416.0
530,Billund,2021,26551,260894.0
530,Billund,2022,26631,265340.0
530,Billund,2023,27021,398267.0
530,Billund,2024,27119,286776.0
400,Bornholm,2008,42817,155300.0
400,Bornholm,2009,42563,160093.0
400,Bornholm,2010,42154,173759.0
400,Bornholm,2011,41802,174636.0
400,Bornholm,2012,41303,179094.0
400,Bornholm,2013,40715,181589.0
400,Bornholm,2014,40215,185032.0
400,Bornholm,2015,39828,189477.0
400,Bornholm,2016,39756,193344.0
400,Bornholm,2017,39695,199413.0
400,Bornholm,2018,39632,202976.0
400,Bornholm,2019,39572,211258.0
400,Bornholm,2020,39499,218783.0
400,Bornholm,2021,39570,226536.0
400,Bornholm,2022,39545,226145.0
400,Bornholm,2023,39602,236127.0
400,Bornholm,2024,39332,242923.0
153,Brøndby,2008,33831,170314.0
153,Brøndby,2009,33762,171557.0
153,Brøndby,2010,33795,182312.0
153,Brøndby,2011,34021,185604.0
153,Brøndby,2012,34084,187577.0
153,Brøndby,2013,34210,190532.0
153,Brøndby,2014,34580,193785.0
153,Brøndby,2015,35050,197052.0
153,Brøndby,2016,35322,201440.0
153,Brøndby,2017,35594,205179.0
153,Brøndby,2018,35538,211029.0
153,Brøndby,2019,35397,215194.0
153,Brøndby,2020,35090,224578.0
153,Brøndby,2021,35232,232140.0
153,Brøndby,2022,35651,233811.0
153,Brøndby,2023,37128,241989.0
153,Brøndby,2024,39067,251169.0
810,Brønderslev,2008,35525,152733.0
810,Brønderslev,2009,35762,161583.0
810,Brønderslev,2010,35804,176238.0
810,Brønderslev,2011,35789,180932.0
810,Brønderslev,2012,35754,188057.0
810,Brønderslev,2013,35600,193506.0
810,Brønderslev,2014,35627,195355.0
810,Brønderslev,2015,35781,198125.0
810,Brønderslev,2016,36047,206456.0
810,Brønderslev,2017,36128,208860.0
810,Brønderslev,2018,36289,211674.0
810,Brønderslev,2019,36370,221527.0
810,Brønderslev,2020,36304,232506.0
810,Brønderslev,2021,36177,243751.0
810,Brønderslev,2022,36194,244534.0
810,Brønderslev,2023,36540,250474.0
810,Brønderslev,2024,36614,255600.0
411,Christiansø,2008,96,
411,Christiansø,2009,96,
411,Christiansø,2010,101,
411,Christiansø,2011,94,
411,Christiansø,2012,103,
411,Christiansø,2013,92,
411,Christiansø,2014,90,
411,Christiansø,2015,91,
411,Christiansø,2016,91,
411,Christiansø,2017,78,
411,Christiansø,2018,83,
411,Christiansø,2019,90,
411,Christiansø,2020,84,
411,Christiansø,2021,90,
411,Christiansø,2022,93,
411,Christiansø,2023,93,
411,Christiansø,2024,91,
155,Dragør,2008,13261,220100.0
155,Dragør,2009,13411,217104.0
155,Dragør,2010,13564,242929.0
155,Dragør,2011,13717,261933.0
155,Dragør,2012,13692,264648.0
155,Dragør,2013,13917,270354.0
155,Dragør,2014,13977,279821.0
155,Dragør,2015,14028,289465.0
155,Dragør,2016,14142,295922.0
