Decile,Municipality,Price_Unit,Year,Average_Income
1st Decile,København,Constant prices,1987,63761
1st Decile,København,Constant prices,1988,62623
1st Decile,København,Constant prices,1989,59738
1st Decile,København,Constant prices,1990,58697
1st Decile,København,Constant prices,1991,61951
1st Decile,København,Constant prices,1992,61063
1st Decile,København,Constant prices,1993,63075
1st Decile,København,Constant prices,1994,71080
1st Decile,København,Constant prices,1995,70793
1st Decile,København,Constant prices,1996,74922
1st Decile,København,Constant prices,1997,72299
1st Decile,København,Constant prices,1998,75561
1st Decile,København,Constant prices,1999,72916
1st Decile,København,Constant prices,2000,70208
1st Decile,København,Constant prices,2001,71217
1st Decile,København,Constant prices,2002,72233
1st Decile,København,Constant prices,2003,71082
1st Decile,København,Constant prices,2004,71326
1st Decile,København,Constant prices,2005,69266
1st Decile,København,Constant prices,2006,70578
1st Decile,København,Constant prices,2007,61052
1st Decile,København,Constant prices,2008,46655
1st Decile,København,Constant prices,2009,49715
1st Decile,København,Constant prices,2010,45314
1st Decile,København,Constant prices,2011,54966
1st Decile,København,Constant prices,2012,59520
1st Decile,København,Constant prices,2013,59810
1st Decile,København,Constant prices,2014,61337
1st Decile,København,Constant prices,2015,62792
1st Decile,København,Constant prices,2016,59313
1st Decile,København,Constant prices,2017,58025
1st Decile,København,Constant prices,2018,57233
1st Decile,København,Constant prices,2019,59311
1st Decile,København,Constant prices,2020,59859
1st Decile,København,Constant prices,2021,65409
1st Decile,København,Constant prices,2022,51325
1st Decile,København,Constant prices,2023,53270
1st Decile,København,Constant prices,2024,63547
1st Decile,København,Nominal prices,1987,29451
1st Decile,København,Nominal prices,1988,30233
1st Decile,København,Nominal prices,1989,30219
1st Decile,København,Nominal prices,1990,30474
1st Decile,København,Nominal prices,1991,32935
1st Decile,København,Nominal prices,1992,33149
1st Decile,København,Nominal prices,1993,34665
1st Decile,København,Nominal prices,1994,39846
1st Decile,København,Nominal prices,1995,40515
1st Decile,København,Nominal prices,1996,43784
1st Decile,København,Nominal prices,1997,43178
1st Decile,København,Nominal prices,1998,45957
1st Decile,København,Nominal prices,1999,45452
1st Decile,København,Nominal prices,2000,45042
1st Decile,København,Nominal prices,2001,46768
1st Decile,København,Nominal prices,2002,48582
1st Decile,København,Nominal prices,2003,48806
1st Decile,København,Nominal prices,2004,49540
1st Decile,København,Nominal prices,2005,48980
1st Decile,København,Nominal prices,2006,50856
1st Decile,København,Nominal prices,2007,44745
1st Decile,København,Nominal prices,2008,35356
1st Decile,København,Nominal prices,2009,38173
1st Decile,København,Nominal prices,2010,35596
1st Decile,København,Nominal prices,2011,44366
1st Decile,København,Nominal prices,2012,49198
1st Decile,København,Nominal prices,2013,49825
1st Decile,København,Nominal prices,2014,51389
1st Decile,København,Nominal prices,2015,52846
1st Decile,København,Nominal prices,2016,50048
1st Decile,København,Nominal prices,2017,49521
1st Decile,København,Nominal prices,2018,49244
1st Decile,København,Nominal prices,2019,51415
1st Decile,København,Nominal prices,2020,52110
1st Decile,København,Nominal prices,2021,57996
1st Decile,København,Nominal prices,2022,49012
1st Decile,København,Nominal prices,2023,52548
1st Decile,København,Nominal prices,2024,63547
1st Decile,Frederiksberg,Constant prices,1987,64196
1st Decile,Frederiksberg,Constant prices,1988,65918
1st Decile,Frederiksberg,Constant prices,1989,64632
1st Decile,Frederiksberg,Constant prices,1990,64100
1st Decile,Frederiksberg,Constant prices,1991,64654
1st Decile,Frederiksberg,Constant prices,1992,61284
1st Decile,Frederiksberg,Constant prices,1993,70260
1st Decile,Frederiksberg,Constant prices,1994,77254
1st Decile,Frederiksberg,Constant prices,1995,80589
1st Decile,Frederiksberg,Constant prices,1996,84774
1st Decile,Frederiksberg,Constant prices,1997,85763
1st Decile,Frederiksberg,Constant prices,1998,86211
1st Decile,Frederiksberg,Constant prices,1999,85900
