KommuneName,active_2008,active_2024,population_2008,population_2024,income_2008,income_2024,openings,closings,net_total,net_pct,pop_pct,income_pct
Vallensbæk,1,7,12399,17800,313999.1,347116.4,8,2,6,600.0,43.5599645132672,10.54694105811133
Kalundborg,12,63,49743,48309,252486.0,323758.1,61,9,52,433.3333333333333,-2.882817682890055,28.228139381985528
Brøndby,3,11,33831,39067,259824.2,289680.8,21,13,8,266.6666666666667,15.47692944340989,11.49107742850742
Billund,14,47,26181,27119,263671.5,340247.8,40,9,31,221.42857142857142,3.582750849852947,29.04231211943649
Gladsaxe,19,60,62562,70600,289424.4,364448.7,75,33,42,221.05263157894737,12.84805472970813,25.921898775638816
Hillerød,16,48,46568,54422,307109.0,378357.7,50,16,34,212.5,16.865658821508333,23.199808537034084
Ballerup,20,56,47116,51237,281885.8,334083.8,69,31,38,190.0,8.746498004924018,18.51742797969958
Høje-Taastrup,20,47,47158,57540,277915.5,311799.3,56,24,32,160.0,22.015352644302133,12.192123145344535
Dragør,2,5,13261,14569,342500.5,449386.2,6,3,3,150.0,9.863509539250433,31.207458091302062
Tårnby,7,15,40016,43915,286205.4,353059.7,17,8,9,128.57142857142858,9.74360255897641,23.358853466775955
Rudersdal,12,26,53869,57237,414609.6,632935.0,32,17,15,125.0,6.252204421838163,52.658066769317465
Morsø,4,10,22091,19734,237987.1,293899.1,6,1,5,125.0,-10.669503417681408,23.49371037337737
Aalborg,58,127,195145,223174,257142.8,314877.8,134,64,70,120.6896551724138,14.363165851033846,22.452504989445554
Viborg,30,64,92084,97472,260953.9,317688.8,71,35,36,120.0,5.851179357977498,21.741349717325548
Allerød,10,20,23493,25962,343580.5,433738.7,23,12,11,110.0,10.509513472098071,26.24077908961656
Næstved,16,33,80732,84747,260923.5,312073.9,38,21,17,106.25,4.973244809988604,19.603600288973595
Esbjerg,49,88,114244,115423,264644.4,323331.0,92,51,41,83.6734693877551,1.032001680613424,22.17564399624552
Køge,14,25,56637,62848,283861.9,344956.3,31,20,11,78.57142857142857,10.966329431290498,21.5225784087262
Herning,32,54,84208,89848,261779.9,322954.2,56,31,25,78.125,6.6977009310279305,23.368600874245892
København,222,383,509861,659350,246634.1,340949.1,492,320,172,77.47747747747748,29.319559644687473,38.24085963781973
Aarhus,119,202,298538,367095,263665.4,332076.0,225,134,91,76.47058823529412,22.96424575765899,25.945990638134536
Roskilde,25,42,80687,90931,305641.9,387356.9,44,25,19,76.0,12.695973329036896,26.73553593273697
Slagelse,29,48,77457,79923,254684.2,300858.6,46,24,22,75.86206896551724,3.1837019249389984,18.130060679068414
Fredericia,24,41,49463,52485,266410.1,315741.3,46,28,18,75.0,6.109617289691284,18.5170156837147
Haderslev,23,39,56414,55438,251877.5,296827.2,56,40,16,69.56521739130434,-1.7300670046442372,17.845857609353757
Kolding,42,69,87781,94932,273249.2,325982.3,64,35,29,69.04761904761905,8.146409815335893,19.298537745032732
Glostrup,9,14,20673,23655,281813.7,326801.1,17,11,6,66.66666666666667,14.42461181250907,15.963524839282108
Helsingør,15,26,60844,63838,292383.0,365694.8,25,15,10,66.66666666666667,4.920781013740057,25.07389280498524
Bornholm,20,33,42817,39332,239089.8,284195.5,31,18,13,65.0,-8.139290468739052,18.865589414521242
Odense,57,87,186932,209078,252520.0,302877.4,99,62,37,64.91228070175438,11.847088780947082,19.94194519246001
Odsherred,11,18,33129,32605,248861.7,295143.0,18,11,7,63.63636363636363,-1.5816957952247275,18.597196756270648
Hvidovre,11,17,49380,53760,273057.9,333460.5,18,11,7,63.63636363636363,8.869987849331713,22.120802950583
Ringsted,16,24,32092,36356,273651.0,325150.3,25,15,10,62.5,13.28680044870996,18.819335577067136
Hørsholm,8,13,24197,24811,402070.5,546494.9,16,11,5,62.5,2.537504649336695,35.92016822920359
Rødovre,8,13,36144,44328,273817.5,328449.8,13,8,5,62.5,22.642762284196547,19.95208487404932
Skanderborg,20,32,56044,65205,290880.8,364168.1,25,13,12,60.0,16.34608521875669,25.19495958481962
Greve,10,16,47773,52157,316616.9,364338.8,16,10,6,60.0,9.176731626651037,15.072442437532539
Ishøj,5,7,20687,23663,255199.3,287545.6,6,3,3,60.0,14.38584618359356,12.674917211763509
Vejle,44,65,104933,121696,275221.2,344066.4,66,40,26,59.09090909090909,15.974955447761905,25.01449742970382
Horsens,29,46,80102,97392,257656.6,318154.7,56,39,17,58.62068965517241,21.584979151581734,23.48012820164514
Thisted,19,29,45549,42989,249401.0,299885.0,31,20,11,57.89473684210526,-5.620320973018068,20.242100071771965
Gribskov,7,12,40512,41920,296861.4,346564.4,10,6,4,57.142857142857146,3.4755134281200633,16.742830155756188
Kerteminde,6,9,23630,23894,258859.5,318930.6,13,10,3,50.0,1.117223867964452,23.206063520944753
Guldborgsund,21,29,63496,59759,247253.4,288186.7,26,16,10,47.61904761904762,-5.885410104573516,16.555202072044317
Frederikshavn,34,46,62751,58376,252758.7,306515.0,42,26,16,47.05882352941177,-6.972000446208028,21.26783370859242
Holstebro,31,43,57020,59016,261502.3,317795.8,40,26,14,45.16129032258065,3.5005261311820415,21.526961713147458
Aabenraa,29,42,60189,58657,257029.5,307494.2,43,30,13,44.827586206896555,-2.5453155892272674,19.63381635181954
Ringkøbing-Skjern,47,65,58368,56218,256467.9,322829.0,62,41,21,44.680851063829785,-3.6835252192982457,25.87501203854362
Hjørring,41,53,67121,63544,246285.8,302911.5,49,31,18,43.90243902439025,-5.32918162721056,22.99186554807464
Herlev,5,7,26567,29876,280652.7,340524.7,11,9,2,40.0,12.455301690066625,21.333128097467082
Jammerbugt,15,21,38957,38234,247403.9,301896.8,19,13,6,40.0,-1.8558923941781964,22.025885606492054
Mariagerfjord,15,22,42667,41762,252837.6,311954.3,21,15,6,40.0,-2.1210771790845384,23.381292972247792
Randers,40,52,93644,99974,254960.3,302443.4,43,28,15,37.5,6.759642902908889,18.6237229874612
Holbæk,22,28,69010,74129,268991.2,327506.6,25,17,8,36.36363636363637,7.41776554122591,21.753648446491916
Silkeborg,29,39,87371,100747,277439.6,342905.3,38,28,10,34.48275862068966,15.309427613281295,23.59637917586387
Frederikssund,15,16,44102,46358,290176.5,338752.4,21,16,5,33.333333333333336,5.11541426692667,16.74012196025523
Skive,15,21,48356,44739,249313.5,308711.3,22,17,5,33.333333333333336,-7.4799404417238815,23.824542192861593
Svendborg,16,18,59040,59727,264311.6,310049.0,16,11,5,31.25,1.1636178861788617,17.30434835247489
Gentofte,32,38,68913,75033,425247.1,691040.2,41,31,10,31.25,8.880762700796657,62.50321283790059
Albertslund,10,12,27602,27677,255973.1,290110.6,15,12,3,30.0,0.2717194406202449,13.336362297444525
Sønderborg,30,38,76913,74233,255951.1,303212.6,40,31,9,30.0,-3.484456463796757,18.46505055067158
Langeland,7,8,13741,12260,233814.3,272469.5,6,4,2,28.571428571428573,-10.777963758096208,16.532436211129948
Odder,7,9,21562,23896,272119.0,329459.5,6,4,2,28.571428571428573,10.824598831277248,21.071847243301644
Vordingborg,19,24,46600,45751,246668.7,297999.8,22,17,5,26.31578947368421,-1.8218884120171674,20.809733865707315
Nyborg,13,16,31607,32193,255405.4,304008.0,14,11,3,23.076923076923077,1.8540196791849908,19.029589820732063
Furesø,13,16,37667,42533,342199.0,439658.2,13,10,3,23.076923076923077,12.918469748055326,28.480270252104773
Frederiksberg,40,49,93444,104899,289940.7,404647.2,62,53,9,22.5,12.25867899490604,39.562055275440805
Varde,32,41,50125,49798,254883.8,319694.8,38,31,7,21.875,-0.6523690773067332,25.427665469519837
Brønderslev,15,18,35525,36614,234175.1,303320.4,12,9,3,20.0,3.0654468684025336,29.52717859413747
Lolland,22,25,48219,39632,231529.2,276799.1,19,15,4,18.181818181818183,-17.80833281486551,19.55256615580236
Struer,11,12,22672,20594,262397.3,302498.1,9,7,2,18.181818181818183,-9.165490472829923,15.282474324240376
Vesthimmerlands,15,20,38277,36012,240254.9,300010.7,12,10,2,13.333333333333334,-5.917391645113254,24.87183403959712
Rebild,8,9,28753,30937,259341.5,346581.4,7,6,1,12.5,7.595729141306994,33.63900494136111
Sorø,9,10,29180,30478,257625.1,325077.7,6,5,1,11.11111111111111,4.448252227553119,26.182464363914853
Norddjurs,19,22,38581,36773,247304.0,294305.7,14,12,2,10.526315789473685,-4.686244524506882,19.005636787112223
Lemvig,10,11,22067,19110,252728.9,327758.8,5,4,1,10.0,-13.40009969637921,29.68789877216258
Faxe,10,11,35418,37753,268055.2,310319.8,8,7,1,10.0,6.592692980970128,15.767125577119929
Favrskov,12,14,45604,49377,276296.8,340693.6,17,16,1,8.333333333333334,8.273397070432418,23.307110324839083
Lyngby-Taarbæk,39,40,51449,58538,349429.4,481378.0,59,57,2,5.128205128205129,13.778693463429804,37.76116148211913
Christiansø,1,1,96,91,,,0,0,0,0.0,-5.208333333333333,
Lejre,3,2,26603,29347,304969.6,361401.2,4,4,0,0.0,10.31462616998083,18.504008268365123
Egedal,10,10,40533,45532,322460.3,379831.0,5,5,0,0.0,12.333160634544692,17.79155449523554
Halsnæs,5,6,30824,31515,273039.7,316298.6,4,4,0,0.0,2.2417596677913316,15.843446941964835
Middelfart,13,13,37274,40158,272325.1,341139.4,13,13,0,0.0,7.737296775232065,25.26917276446426
Nordfyns,5,5,29470,29610,245431.4,301589.5,4,4,0,0.0,0.4750593824228028,22.881383555649364
Ikast-Brande,23,22,39893,42737,258003.6,315150.1,13,14,-1,-4.3478260869565215,7.1290702629534,22.149497138799603
Hedensted,17,14,45561,47725,269326.4,328193.1,11,13,-2,-11.764705882352942,4.749676258203288,21.85701067552232
Faaborg-Midtfyn,15,14,51950,52291,252686.4,301789.8,11,13,-2,-13.333333333333334,0.6564003849855631,19.43254563759664
Fredensborg,11,8,39240,42009,323559.6,401957.2,10,12,-2,-18.181818181818183,7.056574923547401,24.229724600969973
Ærø,5,5,6712,5960,251720.0,273151.6,2,3,-1,-20.0,-11.203814064362335,8.51406324487525
Assens,13,12,42054,40646,248316.6,300908.5,7,10,-3,-23.076923076923077,-3.3480762828743997,21.17937342892098
Samsø,4,3,4085,3694,236937.3,288588.3,1,2,-1,-25.0,-9.571603427172583,21.79943807918804
Tønder,21,19,40367,36651,238241.1,296111.6,17,23,-6,-28.571428571428573,-9.20553917804147,24.29072901359168
Vejen,19,14,42447,42800,248303.8,435085.3,9,15,-6,-31.57894736842105,0.8316253209885268,75.22297282603006
Fanø,3,2,3192,3357,292258.5,327402.2,0,1,-1,-33.333333333333336,5.169172932330827,12.02486839561553
Stevns,3,2,21892,23649,283755.4,329231.3,2,3,-1,-33.333333333333336,8.025762835739084,16.02644390203674
Solrød,5,2,20759,24579,326628.1,399527.5,2,4,-2,-40.0,18.401657112577677,22.3187778393837
Læsø,4,2,2003,1759,234016.5,284104.8,1,3,-2,-50.0,-12.18172740888667,21.40374717167379
Syddjurs,12,6,41281,44076,271064.7,322128.7,8,15,-7,-58.333333333333336,6.770669315181318,18.838306869171824
