KommuneCode,year,openings,closings,active,net_change,KommuneName,RegionName,population,average_income
0101,2008,21,10,222,11,København,Region Hovedstaden,509861,246634.1
0101,2009,13,3,232,10,København,Region Hovedstaden,518574,250344.5
0101,2010,50,17,265,33,København,Region Hovedstaden,528208,263257.2
0101,2011,66,26,305,40,København,Region Hovedstaden,539542,263427.8
0101,2012,19,10,314,9,København,Region Hovedstaden,549050,263061.6
0101,2013,20,86,248,-66,København,Region Hovedstaden,559440,268605.7
0101,2014,25,23,250,2,København,Region Hovedstaden,569557,275524.3
0101,2015,23,11,262,12,København,Region Hovedstaden,580184,282878.1
0101,2016,32,19,275,13,København,Region Hovedstaden,591481,289977.1
0101,2017,27,19,283,8,København,Region Hovedstaden,602481,294663.1
0101,2018,28,11,300,17,København,Region Hovedstaden,613288,302578.6
0101,2019,24,7,317,17,København,Region Hovedstaden,623404,311674.7
0101,2020,19,15,321,4,København,Region Hovedstaden,632340,325782.5
0101,2021,25,15,331,10,København,Region Hovedstaden,638117,340326.9
0101,2022,30,20,341,10,København,Region Hovedstaden,644431,316471.1
0101,2023,23,16,348,7,København,Region Hovedstaden,653664,324292.5
0101,2024,47,12,383,35,København,Region Hovedstaden,659350,340949.1
0147,2008,3,3,40,0,Frederiksberg,Region Hovedstaden,93444,289940.7
0147,2009,0,0,40,0,Frederiksberg,Region Hovedstaden,95029,294697.3
0147,2010,5,2,43,3,Frederiksberg,Region Hovedstaden,96718,318669.4
0147,2011,17,1,59,16,Frederiksberg,Region Hovedstaden,98782,317671.5
0147,2012,4,8,55,-4,Frederiksberg,Region Hovedstaden,100215,319518.4
0147,2013,2,26,31,-24,Frederiksberg,Region Hovedstaden,102029,328061.3
0147,2014,2,0,33,2,Frederiksberg,Region Hovedstaden,102717,336489.9
0147,2015,3,2,34,1,Frederiksberg,Region Hovedstaden,103192,345971.0
0147,2016,1,3,32,-2,Frederiksberg,Region Hovedstaden,104481,353643.6
0147,2017,4,1,35,3,Frederiksberg,Region Hovedstaden,105037,362596.7
0147,2018,2,0,37,2,Frederiksberg,Region Hovedstaden,104410,372249.9
0147,2019,5,0,42,5,Frederiksberg,Region Hovedstaden,103960,383190.5
0147,2020,3,2,43,1,Frederiksberg,Region Hovedstaden,104305,402694.9
0147,2021,3,0,46,3,Frederiksberg,Region Hovedstaden,103677,420807.2
0147,2022,2,1,47,1,Frederiksberg,Region Hovedstaden,103608,384198.3
0147,2023,3,4,46,-1,Frederiksberg,Region Hovedstaden,104664,390387.4
0147,2024,3,0,49,3,Frederiksberg,Region Hovedstaden,104899,404647.2
0151,2008,3,1,20,2,Ballerup,Region Hovedstaden,47116,281885.8
0151,2009,2,0,22,2,Ballerup,Region Hovedstaden,47398,279062.9
0151,2010,3,1,24,2,Ballerup,Region Hovedstaden,47652,294624.5
0151,2011,3,3,24,0,Ballerup,Region Hovedstaden,47930,294506.6
0151,2012,3,2,25,1,Ballerup,Region Hovedstaden,47994,293335.9
0151,2013,4,2,27,2,Ballerup,Region Hovedstaden,48211,296909.2
0151,2014,1,2,26,-1,Ballerup,Region Hovedstaden,48514,308056.1
0151,2015,2,5,23,-3,Ballerup,Region Hovedstaden,48355,311163.3
0151,2016,3,1,25,2,Ballerup,Region Hovedstaden,48224,314741.4
0151,2017,3,1,27,2,Ballerup,Region Hovedstaden,48231,318346.2
0151,2018,5,0,32,5,Ballerup,Region Hovedstaden,48295,322999.9
0151,2019,6,2,36,4,Ballerup,Region Hovedstaden,48458,328976.0
0151,2020,4,0,40,4,Ballerup,Region Hovedstaden,48602,341703.0
0151,2021,10,5,45,5,Ballerup,Region Hovedstaden,49310,349139.9
0151,2022,4,4,45,0,Ballerup,Region Hovedstaden,49274,325061.3
0151,2023,7,1,51,6,Ballerup,Region Hovedstaden,50039,330295.3
0151,2024,6,1,56,5,Ballerup,Region Hovedstaden,51237,334083.8
0153,2008,1,1,3,0,Brøndby,Region Hovedstaden,33831,259824.2
0153,2009,1,1,3,0,Brøndby,Region Hovedstaden,33762,258143.6
0153,2010,0,0,3,0,Brøndby,Region Hovedstaden,33795,268662.0
0153,2011,1,0,4,1,Brøndby,Region Hovedstaden,34021,266444.5
0153,2012,1,1,4,0,Brøndby,Region Hovedstaden,34084,263470.3
0153,2013,5,0,9,5,Brøndby,Region Hovedstaden,34210,265236.5
0153,2014,2,5,6,-3,Brøndby,Region Hovedstaden,34580,268244.7
0153,2015,1,0,7,1,Brøndby,Region Hovedstaden,35050,271490.7
0153,2016,0,2,5,-2,Brøndby,Region Hovedstaden,35322,276114.5
0153,2017,1,0,6,1,Brøndby,Region Hovedstaden,35594,277198.8
0153,2018,0,1,5,-1,Brøndby,Region Hovedstaden,35538,283012.7
0153,2019,1,0,6,1,Brøndby,Region Hovedstaden,35397,286361.3
0153,2020,0,2,4,-2,Brøndby,Region Hovedstaden,35090,298135.2
0153,2021,2,0,6,2,Brøndby,Region Hovedstaden,35232,302928.9
0153,2022,1,0,7,1,Brøndby,Region Hovedstaden,35651,283230.4
0153,2023,2,0,9,2,Brøndby,Region Hovedstaden,37128,283031.0
0153,2024,2,0,11,2,Brøndby,Region Hovedstaden,39067,289680.8
0155,2008,0,0,2,0,Dragør,Region Hovedstaden,13261,342500.5
0155,2009,0,0,2,0,Dragør,Region Hovedstaden,13411,334669.1
0155,2010,0,0,2,0,Dragør,Region Hovedstaden,13564,368115.7
0155,2011,1,1,2,0,Dragør,Region Hovedstaden,13717,385425.6
0155,2012,0,0,2,0,Dragør,Region Hovedstaden,13692,381605.5
0155,2013,0,0,2,0,Dragør,Region Hovedstaden,13917,389856.7
0155,2014,0,0,2,0,Dragør,Region Hovedstaden,13977,400136.2
0155,2015,0,0,2,0,Dragør,Region Hovedstaden,14028,410230.1
0155,2016,0,0,2,0,Dragør,Region Hovedstaden,14142,417517.7
0155,2017,0,1,1,-1,Dragør,Region Hovedstaden,14288,425056.8
0155,2018,0,0,1,0,Dragør,Region Hovedstaden,14272,431990.6
0155,2019,0,1,0,-1,Dragør,Region Hovedstaden,14270,441682.1
