municipality_code,municipality_name,year,population,average_income
580,Aabenraa,2008,60189,257029.5
580,Aabenraa,2009,60392,255130.2
580,Aabenraa,2010,59978,271481.9
580,Aabenraa,2011,59795,268613.8
580,Aabenraa,2012,59600,268157.0
580,Aabenraa,2013,59208,271096.6
580,Aabenraa,2014,58970,272634.0
580,Aabenraa,2015,58904,278115.4
580,Aabenraa,2016,58869,282946.2
580,Aabenraa,2017,59003,291382.8
580,Aabenraa,2018,59089,293698.9
580,Aabenraa,2019,59035,301420.3
580,Aabenraa,2020,58761,313457.1
580,Aabenraa,2021,58526,320495.0
580,Aabenraa,2022,58693,303108.0
580,Aabenraa,2023,59002,300251.8
580,Aabenraa,2024,58657,307494.2
851,Aalborg,2008,195145,257142.8
851,Aalborg,2009,196292,262406.3
851,Aalborg,2010,197426,276678.2
851,Aalborg,2011,199188,273966.0
851,Aalborg,2012,201142,273389.4
851,Aalborg,2013,203448,277056.2
851,Aalborg,2014,205809,280228.9
851,Aalborg,2015,207805,285189.7
851,Aalborg,2016,210316,289002.2
851,Aalborg,2017,211937,294905.2
851,Aalborg,2018,213558,299846.0
851,Aalborg,2019,215312,304987.7
851,Aalborg,2020,217075,318095.7
851,Aalborg,2021,219487,325462.8
851,Aalborg,2022,221082,305963.2
851,Aalborg,2023,222571,306911.1
851,Aalborg,2024,223174,314877.8
751,Aarhus,2008,298538,263665.4
751,Aarhus,2009,302618,268756.0
751,Aarhus,2010,306650,286651.0
751,Aarhus,2011,310956,284411.9
751,Aarhus,2012,314545,283587.4
751,Aarhus,2013,319094,291566.9
751,Aarhus,2014,323893,296621.9
751,Aarhus,2015,326246,308363.8
751,Aarhus,2016,330639,308387.6
751,Aarhus,2017,335684,316450.8
751,Aarhus,2018,340421,320799.6
751,Aarhus,2019,345332,325673.0
751,Aarhus,2020,349983,339017.5
751,Aarhus,2021,352751,349004.4
751,Aarhus,2022,355238,324203.7
751,Aarhus,2023,361544,324531.7
751,Aarhus,2024,367095,332076.0
165,Albertslund,2008,27602,255973.1
165,Albertslund,2009,27706,259236.8
165,Albertslund,2010,27730,269876.3
165,Albertslund,2011,27800,261674.4
165,Albertslund,2012,27864,261780.4
165,Albertslund,2013,27824,261728.5
165,Albertslund,2014,27728,266933.4
165,Albertslund,2015,27806,271176.5
165,Albertslund,2016,27880,275347.4
165,Albertslund,2017,27896,276171.6
165,Albertslund,2018,27743,281472.4
165,Albertslund,2019,27877,284100.7
165,Albertslund,2020,27731,295906.2
165,Albertslund,2021,27366,302791.5
165,Albertslund,2022,27599,282918.7
165,Albertslund,2023,27530,285319.6
165,Albertslund,2024,27677,290110.6
201,Allerød,2008,23493,343580.5
201,Allerød,2009,23821,344416.9
201,Allerød,2010,24089,379117.8
201,Allerød,2011,24096,383899.8
201,Allerød,2012,24043,383070.8
201,Allerød,2013,24073,391544.3
201,Allerød,2014,24175,400922.2
201,Allerød,2015,24411,410387.8
201,Allerød,2016,24732,415795.7
201,Allerød,2017,24942,421416.3
201,Allerød,2018,25235,425306.2
201,Allerød,2019,25646,440449.8
201,Allerød,2020,25633,449249.4
201,Allerød,2021,25893,464725.0
201,Allerød,2022,25867,430858.8
201,Allerød,2023,26061,426877.8
201,Allerød,2024,25962,433738.7
420,Assens,2008,42054,248316.6
420,Assens,2009,42128,258133.3
420,Assens,2010,42054,274223.4
420,Assens,2011,41635,271033.2
420,Assens,2012,41443,270973.7
420,Assens,2013,41325,274509.4
420,Assens,2014,41037,276560.4
420,Assens,2015,41046,282219.9
420,Assens,2016,41224,285720.5
420,Assens,2017,41390,291002.2
420,Assens,2018,41328,293563.5
420,Assens,2019,41212,304183.3
420,Assens,2020,40965,314640.3
420,Assens,2021,40867,322046.1
420,Assens,2022,40972,300334.8
420,Assens,2023,40944,301042.3
420,Assens,2024,40646,300908.5
151,Ballerup,2008,47116,281885.8
151,Ballerup,2009,47398,279062.9
151,Ballerup,2010,47652,294624.5
151,Ballerup,2011,47930,294506.6
151,Ballerup,2012,47994,293335.9
151,Ballerup,2013,48211,296909.2
151,Ballerup,2014,48514,308056.1
151,Ballerup,2015,48355,311163.3
151,Ballerup,2016,48224,314741.4
151,Ballerup,2017,48231,318346.2
151,Ballerup,2018,48295,322999.9
151,Ballerup,2019,48458,328976.0
151,Ballerup,2020,48602,341703.0
151,Ballerup,2021,49310,349139.9
151,Ballerup,2022,49274,325061.3
151,Ballerup,2023,50039,330295.3
151,Ballerup,2024,51237,334083.8
530,Billund,2008,26181,263671.5
530,Billund,2009,26235,264981.6
530,Billund,2010,26160,285641.4
530,Billund,2011,26155,286011.8
530,Billund,2012,26220,288575.9
530,Billund,2013,26357,295861.0
530,Billund,2014,26318,296862.3
530,Billund,2015,26285,298886.9
530,Billund,2016,26434,302803.1
530,Billund,2017,26481,315637.2
530,Billund,2018,26482,318809.0
530,Billund,2019,26629,325489.0
530,Billund,2020,26608,338185.3
530,Billund,2021,26551,349005.0
530,Billund,2022,26631,329825.3
530,Billund,2023,27021,470346.1
530,Billund,2024,27119,340247.8
400,Bornholm,2008,42817,239089.8
400,Bornholm,2009,42563,244140.4
400,Bornholm,2010,42154,260062.8
400,Bornholm,2011,41802,255078.9
400,Bornholm,2012,41303,255287.8
400,Bornholm,2013,40715,257100.5
400,Bornholm,2014,40215,260931.9
400,Bornholm,2015,39828,265290.6
400,Bornholm,2016,39756,270126.0
400,Bornholm,2017,39695,275221.9
400,Bornholm,2018,39632,276787.7
400,Bornholm,2019,39572,286259.3
400,Bornholm,2020,39499,294596.0
400,Bornholm,2021,39570,298542.5
400,Bornholm,2022,39545,277034.5
400,Bornholm,2023,39602,279942.6
400,Bornholm,2024,39332,284195.5
153,Brøndby,2008,33831,259824.2
153,Brøndby,2009,33762,258143.6
153,Brøndby,2010,33795,268662.0
153,Brøndby,2011,34021,266444.5
153,Brøndby,2012,34084,263470.3
153,Brøndby,2013,34210,265236.5
153,Brøndby,2014,34580,268244.7
153,Brøndby,2015,35050,271490.7
153,Brøndby,2016,35322,276114.5
153,Brøndby,2017,35594,277198.8
153,Brøndby,2018,35538,283012.7
153,Brøndby,2019,35397,286361.3
153,Brøndby,2020,35090,298135.2
153,Brøndby,2021,35232,302928.9
153,Brøndby,2022,35651,283230.4
153,Brøndby,2023,37128,283031.0
153,Brøndby,2024,39067,289680.8
810,Brønderslev,2008,35525,234175.1
810,Brønderslev,2009,35762,246839.6
810,Brønderslev,2010,35804,263581.2
810,Brønderslev,2011,35789,263851.1
810,Brønderslev,2012,35754,268752.9
810,Brønderslev,2013,35600,274780.5
810,Brønderslev,2014,35627,275123.7
810,Brønderslev,2015,35781,276927.6
810,Brønderslev,2016,36047,288833.2
810,Brønderslev,2017,36128,290194.0
810,Brønderslev,2018,36289,290352.3
810,Brønderslev,2019,36370,302643.0
810,Brønderslev,2020,36304,315977.7
810,Brønderslev,2021,36177,325639.0
810,Brønderslev,2022,36194,303490.7
810,Brønderslev,2023,36540,301307.2
810,Brønderslev,2024,36614,303320.4
411,Christiansø,2008,96,
411,Christiansø,2009,96,
411,Christiansø,2010,101,
411,Christiansø,2011,94,
411,Christiansø,2012,103,
411,Christiansø,2013,92,
411,Christiansø,2014,90,
411,Christiansø,2015,91,
411,Christiansø,2016,91,
411,Christiansø,2017,78,
411,Christiansø,2018,83,
411,Christiansø,2019,90,
411,Christiansø,2020,84,
411,Christiansø,2021,90,
411,Christiansø,2022,93,
411,Christiansø,2023,93,
411,Christiansø,2024,91,
155,Dragør,2008,13261,342500.5
155,Dragør,2009,13411,334669.1
155,Dragør,2010,13564,368115.7
155,Dragør,2011,13717,385425.6
155,Dragør,2012,13692,381605.5
155,Dragør,2013,13917,389856.7
155,Dragør,2014,13977,400136.2
155,Dragør,2015,14028,410230.1
155,Dragør,2016,14142,417517.7
155,Dragør,2017,14288,425056.8
155,Dragør,2018,14272,431990.6
155,Dragør,2019,14270,441682.1
155,Dragør,2020,14494,454393.7
155,Dragør,2021,14569,471199.0
155,Dragør,2022,14640,438376.8
155,Dragør,2023,14609,446642.4
155,Dragør,2024,14569,449386.2
240,Egedal,2008,40533,322460.3
240,Egedal,2009,41031,316460.7
240,Egedal,2010,41513,343596.3
240,Egedal,2011,41614,341081.8
240,Egedal,2012,41821,340349.6
240,Egedal,2013,42018,349518.5
240,Egedal,2014,42210,354096.4
240,Egedal,2015,42573,363026.0
240,Egedal,2016,42773,366471.1
240,Egedal,2017,43082,374425.2
240,Egedal,2018,43000,380830.0
240,Egedal,2019,43335,381731.3
240,Egedal,2020,43354,397712.3
240,Egedal,2021,43696,409946.4
